lgid,lgtype,latitude,longitude,govname
01001,1,39.99,-104.82,Adams County
01004,12,39.79,-104.62,Box Elder Water & Sanitation District
01005,2,39.86,-104.82,"Commerce City, City of"
01006,12,39.82,-105.02,Crestview Water & Sanitation District
01007,20,39.89,-104.24,East Adams Conservation District
01009,2,39.87,-105.02,"Federal Heights, City of"
01010,12,39.89,-104.89,Hazeltine Heights Water & Sanitation District
01011,12,39.99,-104.88,Hi-Land Acres Water & Sanitation District
01013,7,39.85,-105.03,Hyland Hills Park and Recreation District
01014,12,39.79,-104.91,Industrial Park Water & Sanitation District
01015,12,39.79,-105,North Lincoln Water & Sanitation District
01021,12,39.86,-104.85,South Adams County Water & Sanitation District
01022,11,39.86,-105.04,Shaw Heights Water District
01023,8,39.85,-104.85,South Adams County Fire Protection District
01024,8,39.82,-105.04,Southwest Adams County Fire Protection District
01027,6,39.76,-104.74,Tower Metropolitan District
01038,6,40.35,-104.48,South Beebe Draw Metropolitan District
01039,6,40,-104.76,Bromley Park Metropolitan District No. 2
01040,6,39.98,-104.75,Bromley Park Metropolitan District No. 3
01041,6,39.99,-104.75,Brighton Crossing Metropolitan District No. 4
01042,6,39.77,-104.7,Aurora Highlands Metropolitan District No. 6
01044,6,39.94,-104.8,Prairie Center Metropolitan District No. 1
01045,12,39.78,-104.7,Central Adams County Water & Sanitation District
01046,6,39.78,-104.73,Second Creek Ranch Metropolitan District
01049,6,39.92,-104.91,Wright Farms Metropolitan District
01052,6,39.87,-104.99,Brittany Place Metropolitan District
01053,28,39.94,-105.01,Amherst General Improvement District
01054,16,39.89,-104.34,Rangeview Library District
01061,28,39.91,-105.05,City of Westminster Sheridan Crossing General Improvement District
01062,6,39.98,-104.87,Todd Creek Village Metropolitan District
01064,6,39.91,-104.8,Buffalo Ridge Metropolitan District
01065,6,39.87,-104.86,Eagle Creek Metropolitan District
01066,6,39.9,-104.87,Riverdale Dunes Metropolitan District No. 1
01068,28,39.89,-104.81,City of Commerce City Northern Infrastructure General Impr. Dist.
01070,6,39.95,-105.04,Broadlands Metropolitan District No. 2
01072,12,39.99,-104.63,Greatrock North Water and Sanitation District
01074,6,39.8,-104.76,Aurora Single Tree Metropolitan District
01077,6,39.89,-104.82,North Range Village Metropolitan District
01078,6,39.99,-104.88,Eagle Shadow Metropolitan District No. 1
01080,6,39.95,-105.02,McKay Landing Metropolitan District No. 2
01081,28,39.94,-104.98,City of Thornton 136th Avenue General Improvement District
01082,6,39.89,-104.88,Belle Creek Metropolitan District No. 1
01084,28,39.94,-104.99,City of Westminster 136th Avenue General Improvement District
01085,6,39.95,-105,Huntington Trails Metropolitan District
